epsilon_HL	epsilon_LL	tauR
2.500000e-01	2.500000e-01	8.367293e-01
5.000000e-01	2.500000e-01	8.464903e-01
7.500000e-01	2.500000e-01	8.448954e-01
1.000000e+00	2.500000e-01	8.714909e-01
1.250000e+00	2.500000e-01	1.050728e+00
1.500000e+00	2.500000e-01	1.618711e+00
1.750000e+00	2.500000e-01	2.668581e+00
2.000000e+00	2.500000e-01	4.036311e+00
2.250000e+00	2.500000e-01	5.468960e+00
2.500000e+00	2.500000e-01	6.948454e+00
2.500000e-01	5.000000e-01	8.416682e-01
5.000000e-01	5.000000e-01	8.460557e-01
7.500000e-01	5.000000e-01	8.532787e-01
1.000000e+00	5.000000e-01	9.031850e-01
1.250000e+00	5.000000e-01	1.100715e+00
1.500000e+00	5.000000e-01	1.708082e+00
1.750000e+00	5.000000e-01	2.899096e+00
2.000000e+00	5.000000e-01	4.320001e+00
2.250000e+00	5.000000e-01	5.837347e+00
2.500000e+00	5.000000e-01	7.345993e+00
2.500000e-01	7.500000e-01	8.991508e-01
5.000000e-01	7.500000e-01	9.035207e-01
7.500000e-01	7.500000e-01	9.148181e-01
1.000000e+00	7.500000e-01	9.675107e-01
1.250000e+00	7.500000e-01	1.203676e+00
1.500000e+00	7.500000e-01	1.908013e+00
1.750000e+00	7.500000e-01	3.228651e+00
2.000000e+00	7.500000e-01	4.737345e+00
2.250000e+00	7.500000e-01	6.295857e+00
2.500000e+00	7.500000e-01	7.893759e+00
2.500000e-01	1.000000e+00	9.846655e-01
5.000000e-01	1.000000e+00	9.877651e-01
7.500000e-01	1.000000e+00	1.001071e+00
1.000000e+00	1.000000e+00	1.055909e+00
1.250000e+00	1.000000e+00	1.329781e+00
1.500000e+00	1.000000e+00	2.212791e+00
1.750000e+00	1.000000e+00	3.734639e+00
2.000000e+00	1.000000e+00	5.397908e+00
2.250000e+00	1.000000e+00	6.985283e+00
2.500000e+00	1.000000e+00	8.552302e+00
2.500000e-01	1.250000e+00	1.102392e+00
5.000000e-01	1.250000e+00	1.105673e+00
7.500000e-01	1.250000e+00	1.120678e+00
1.000000e+00	1.250000e+00	1.177830e+00
1.250000e+00	1.250000e+00	1.516068e+00
1.500000e+00	1.250000e+00	2.685977e+00
1.750000e+00	1.250000e+00	4.518122e+00
2.000000e+00	1.250000e+00	6.187258e+00
2.250000e+00	1.250000e+00	7.805546e+00
2.500000e+00	1.250000e+00	9.478673e+00
2.500000e-01	1.500000e+00	1.273390e+00
5.000000e-01	1.500000e+00	1.279191e+00
7.500000e-01	1.500000e+00	1.292132e+00
1.000000e+00	1.500000e+00	1.366912e+00
1.250000e+00	1.500000e+00	1.872686e+00
1.500000e+00	1.500000e+00	3.673622e+00
1.750000e+00	1.500000e+00	5.800953e+00
2.000000e+00	1.500000e+00	7.452928e+00
2.250000e+00	1.500000e+00	9.009072e+00
2.500000e+00	1.500000e+00	1.071091e+01
2.500000e-01	1.750000e+00	1.560527e+00
5.000000e-01	1.750000e+00	1.570410e+00
7.500000e-01	1.750000e+00	1.580103e+00
1.000000e+00	1.750000e+00	1.680955e+00
1.250000e+00	1.750000e+00	2.812762e+00
1.500000e+00	1.750000e+00	6.427092e+00
1.750000e+00	1.750000e+00	7.885910e+00
2.000000e+00	1.750000e+00	9.176614e+00
2.250000e+00	1.750000e+00	1.069032e+01
2.500000e+00	1.750000e+00	1.227475e+01
2.500000e-01	2.000000e+00	1.008910e+01
5.000000e-01	2.000000e+00	1.007354e+01
7.500000e-01	2.000000e+00	9.991858e+00
1.000000e+00	2.000000e+00	1.088953e+01
1.250000e+00	2.000000e+00	1.179403e+01
1.500000e+00	2.000000e+00	1.196047e+01
1.750000e+00	2.000000e+00	1.160212e+01
2.000000e+00	2.000000e+00	1.187463e+01
2.250000e+00	2.000000e+00	1.289702e+01
2.500000e+00	2.000000e+00	1.452358e+01
2.500000e-01	2.250000e+00	1.387959e+01
5.000000e-01	2.250000e+00	1.390269e+01
7.500000e-01	2.250000e+00	1.398988e+01
1.000000e+00	2.250000e+00	1.486670e+01
1.250000e+00	2.250000e+00	1.601875e+01
1.500000e+00	2.250000e+00	1.634137e+01
1.750000e+00	2.250000e+00	1.631453e+01
2.000000e+00	2.250000e+00	1.596917e+01
2.250000e+00	2.250000e+00	1.625853e+01
2.500000e+00	2.250000e+00	1.761974e+01
2.500000e-01	2.500000e+00	1.890542e+01
5.000000e-01	2.500000e+00	1.901652e+01
7.500000e-01	2.500000e+00	1.884123e+01
1.000000e+00	2.500000e+00	2.010025e+01
1.250000e+00	2.500000e+00	2.152701e+01
1.500000e+00	2.500000e+00	2.216134e+01
1.750000e+00	2.500000e+00	2.234892e+01
2.000000e+00	2.500000e+00	2.229770e+01
2.250000e+00	2.500000e+00	2.207105e+01
2.500000e+00	2.500000e+00	2.255841e+01
